Grade	Subject	Mandatory	Details
1	English (Literacy)	Yes	"Reading: Recognize all letters of the English alphabet and their sounds; begin blending sounds to read simple words and short sentences. Students enjoy listening to and reading simple stories, poems, and rhymes. Writing: Hold a pencil correctly and write basic words. Write simple sentences with correct use of capital letters and full stops (periods). Speaking/Listening: Follow basic instructions and engage in imaginative play to practice speaking; learn to take turns in conversation and listen to others in group activities."
1	Mathematics	Yes	"Learn the foundation of the number system up to 20: count, read, and write numbers from 0 to 20. Count forwards and backwards, and begin skip counting by 2s and 10s. Understand basic addition and subtraction with single-digit numbers (e.g. using objects or fingers). Identify simple 2D shapes (circle, square, triangle, rectangle) and some 3D shapes. Begin to grasp measurement concepts by comparing lengths or weights and recognize clocks (learn to tell time to the hour). Solve very simple word problems with guidance, and start making estimations for quantities."
1	Science	Yes	"Begin exploring the environment and world through observation and curiosity. Distinguish living vs. non-living things and recognize that plants and animals are living beings that inhabit the environment. Identify basic parts of plants (leaf, root, stem) and animals (head, legs, etc.), and understand that humans are animals too. Explore the five senses by observing different materials (e.g. rough vs smooth, what they smell or sound like). Observe movement and forces: learn that pushing or pulling can move objects and change their speed or direction. Recognize different sound sources (e.g. identify loud vs soft sounds). Overall, Stage 1 science encourages curiosity about the immediate world around them."
1	Global Perspectives (Cambridge)	No	"Students are introduced to global awareness through simple, age-appropriate topics. They begin developing foundational skills in research and communication as part of Cambridge Primary Global Perspectives. For example, in Stage 1 they might explore the theme “Growing and growing up,” sharing how they have changed since babyhood. They learn to observe and ask basic questions about their immediate world (family, friends, local community) and compare with others’ experiences. Through guided activities, they practice expressing their ideas with the class and listening to different perspectives, laying the groundwork for collaboration and reflection on a very simple level."
1	Computing / ICT	No	"Learn basic digital skills. Students become familiar with using a computer or tablet under supervision – for example, learning how to use a mouse or touchscreen and open a simple program. They practice recognizing letters and numbers on a keyboard. They begin to understand that technology (like computers and tablets) can be used to play educational games, to draw pictures, or to listen to stories. Emphasis is on developing comfort with technology and learning simple digital vocabulary (screen, mouse, keyboard, etc.). They may also engage in basic coding concepts through playful activities (such as arranging arrows to move a character in a game), learning the idea of giving instructions to achieve a result."
1	Art & Design	No	"Explore colors, shapes, and basic art materials. Students learn the names of primary colors and experiment with mixing colors (e.g. discovering that blue and yellow make green). They practice holding and using crayons, brushes, and safety scissors. They create simple drawings and paintings of familiar subjects (like their family, house, trees, sun) focusing on basic shapes. They also work with clay or playdough to make very simple sculptures (e.g. rolling a ball or making a snake shape). Art in Grade 1 emphasizes creativity and motor skills: by year-end, students should be able to draw and color a simple scene, recognizing basic colors and shapes, and show confidence in trying different art activities. They also learn to talk briefly about their artwork (e.g. “This is my dog, it’s brown.”)."
1	Music	No	"Develop enjoyment of music and basic musical skills. Students learn to recognize and repeat simple rhythms (clapping or tapping a steady beat). They sing simple songs and nursery rhymes in a group, developing their ability to match pitch and remember lyrics. They are introduced to common classroom instruments (like shaker, tambourine, triangle) and explore the sounds they make. By the end of Grade 1, students can distinguish between loud vs. soft sounds and high vs. low pitches. They can perform a very simple song or rhyme from memory with the class, keep a basic beat, and have experienced making sounds with different instruments. The emphasis is on fostering a love of music and comfort with singing and moving to music."
1	Physical Education (PE)	No	"Focus on fundamental motor skills and active play. Students practice gross motor skills like running, jumping, hopping, and throwing in fun games. They learn to follow simple game rules (e.g. taking turns, stopping when a signal is given). By the end of Grade 1, they should be able to run and change direction without falling, throw or roll a ball towards a target, and catch a large ball with both hands. They also work on balance (e.g. walking on a line or low balance beam) and coordination (skipping, galloping). PE at this stage also emphasizes teamwork and social skills: students practice cooperating with partners or small groups in simple activities. The goal is for children to enjoy exercise, develop basic physical confidence, and understand simple concepts like warm-up or why we move our bodies."
2	English (Literacy)	Yes	"Reading: By the end of Grade 2 (Cambridge Stage 2), students can read short stories and informational texts for their age. They have a solid grasp of phonics, enabling them to decode unfamiliar words. They read a wider variety of texts including fairy tales, simple real-life stories, and poems. They can answer basic who/what/when/where/why questions about a text to show comprehension. Writing: Students write their own short stories and sentences that form a logical sequence (beginning, middle, end). They are starting to use connecting words like “and”, “but” to form compound sentences. They also practice writing simple instructions or a short description of a familiar topic. By this stage, they use correct past and present tenses for common verbs and punctuate sentences with capital letters and full stops correctly. Speaking/Listening: Grade 2 students can participate in short discussions, answering questions about stories and retelling events in order. They practice speaking in complete sentences and begin to use expressive vocabulary to describe events or their feelings. They listen to others and respond to “why” questions with brief explanations. Overall, by the end of Grade 2, students are becoming more independent readers and writers of short texts and are expanding their vocabulary and confidence in English."
2	Mathematics	Yes	"Numbers: Extend understanding of numbers up to 100. Students can read, write, and sequence numbers 0–100 and count forwards/backwards within this range. They practice skip counting by 2s, 5s, and 10s, and are introduced to counting in 3s and 4s as well. They solidify addition and subtraction facts up to 20 and learn to add/subtract two-digit numbers (without complex regrouping). Fractions: Recognize simple fractions: 1/2, 1/3, 1/4 (e.g. understanding 1/2 as one of two equal parts). Measurement: Tell time to the half-hour and perhaps quarter-hour on analog clocks; compare lengths, weights, and capacities using non-standard and simple standard units (cm, m; g, kg; ml, L in an intuitive way). Geometry: Identify common 2D shapes (circle, square, triangle, rectangle, oval) and 3D shapes (cube, sphere, cylinder) in their environment. They learn basic properties like number of sides or corners. Word Problems: Solve simple word problems involving addition or subtraction, showing understanding of what operation to use (with teacher guidance). They also start making estimations (e.g. guessing how many candies in a jar and then counting) to build reasoning. By end of Grade 2, students are expected to be comfortable with basic arithmetic within 100, understand halves and quarters, and apply math to simple everyday scenarios (time, sharing, measuring objects)."
2	Science	Yes	"Grade 2 students expand their scientific thinking and begin to do simple investigations. Scientific inquiry: They make predictions (e.g. “I think this plant will grow taller in the sun than in shade”) and collect simple data under teacher guidance – like measuring how much a plant grew or which objects sink or float. They start using simple tools (a ruler for length, a thermometer for temperature, etc.) to make observations. Biology: Students learn about weather and seasonal changes, and discuss how to care for the environment (e.g. not littering, watering plants). They study how plants and animals grow and what they need (water, food, light) – building a small foundation in life cycles (perhaps observing a seed sprout). Chemistry: They explore materials more deeply – distinguishing natural vs. man-made materials. For instance, they learn wood and cotton come from plants (natural), while plastic and glass are manufactured. They also observe simple material changes (ice melting into water, water freezing) to learn about hot and cold. Physics: Key topics include light and dark (recognizing that darkness is the absence of light, the sun is a light source, whereas the moon reflects light) and an introduction to electricity (maybe a basic circuit with a battery, bulb, and wire in very simple form). By the end of Grade 2, students should be able to ask questions like “What will happen if…?”, make simple observations to answer those questions, and have a broader understanding of nature (weather, caring for Earth) and basic physical phenomena (light, simple circuits)."
2	Global Perspectives (Cambridge)	No	"Building on Stage 1, Grade 2 students take on slightly more complex global topics and skills. They might undertake up to six Global Perspectives Challenges in the year. For example, they could explore a topic like “Family, Friends, Community” by comparing how birthdays are celebrated in their family versus in another country. Collaboration: Students work in pairs or small groups to collect very simple information – e.g. each child asks a family member what their favorite food is, and the class compares results (learning that people have different preferences). Research and Analysis: They learn to gather evidence in a basic way (like observing weather for a week to see patterns) and answer a question with that evidence. Reflection: They begin to reflect on what they found (“Most of us have a birthday cake; in some cultures they have a special dessert instead”). By end of Grade 2, they can contribute to a simple group presentation (with teacher support) on a local/global topic (like making a poster on “How we care for our school and Earth”). They are developing curiosity beyond their immediate experience and the ability to see that other people may have different lives or viewpoints."
2	Computing / ICT	No	"Continue developing digital literacy. In Grade 2, students use computers/tablets with growing confidence. They practice basic typing: writing simple words and sentences using a keyboard (e.g. typing their name, a short sentence like “I like cats.”). They learn to use fundamental keys (space bar, backspace, enter). They also begin using educational software or apps for math, reading, or art – learning to navigate menus with guidance. Coding/Computational thinking: Students might use block-based coding tools designed for young children (like dragging blocks to move a character through a maze) to develop logical thinking. They learn concepts like “sequence” (steps in order) and “debugging” (fixing a mistake if the sequence doesn’t do what was expected) in a very simple, visual way. Internet safety: Students are introduced to the idea that computers can connect to the internet, and basic safety like not clicking on unknown pop-ups and always asking an adult before using the internet. By the end of Grade 2, they can open a simple program or app on their own, save their work (with help), and understand that computers follow instructions we give. They also create a very basic piece of digital content, like a drawing in a paint program or a short typed message."
2	Art & Design	No	"Develop art skills and creativity further. Students in Grade 2 learn about color mixing more formally – they explore creating secondary colors (green, orange, purple) from primary colors and experiment with lighter/darker shades (adding white or black paint). They practice drawing more detailed pictures, adding backgrounds and multiple elements (e.g. not just a tree, but a tree with grass, sun, clouds, maybe a person or house). They are introduced to simple concepts of form and texture – for instance, making a collage from different materials (paper, fabric, leaves) to feel textures, or building slightly more detailed clay figures (adding facial features or patterns). They might study very basic art from different cultures or famous artists at an age-appropriate level – e.g. looking at Starry Night by Van Gogh and making a swirly sky painting. By the end of Grade 2, students should be able to plan a simple artwork (deciding what to draw or make), mix and use a variety of colors, and have improved fine motor control (coloring within lines more carefully, cutting shapes with scissors). They are also encouraged to talk about their art and others’: they can say what they like in an artwork and begin to use art vocabulary (like colors, shapes, pattern)."
